path,label,source,score,pred
experiments\data\normal_text\notifications\email_4298.txt,0,normal,0.0002,1
experiments\data\anomaly_text\Resume\Resume (11).txt,1,anomaly,0.0002,1
experiments\data\normal_text\reports\report_3067.txt,0,normal,0.00019999994,0
experiments\data\normal_text\notifications\email_6765.txt,0,normal,0.0002,1
experiments\data\anomaly_text\Resume\Resume (5).txt,1,anomaly,0.0002,1
experiments\data\normal_text\notifications\email_4905.txt,0,normal,0.0002,1
experiments\data\normal_text\notifications\email_9323.txt,0,normal,0.0002,1
experiments\data\normal_text\notifications\email_7864.txt,0,normal,0.0002,1
experiments\data\anomaly_text\Code\Code (1) - Copy.txt,1,anomaly,0.00019999854,0
experiments\data\normal_text\notifications\email_2331.txt,0,normal,0.0002,1
experiments\data\normal_text\reports\report_5201.txt,0,normal,0.00019999931,0
experiments\data\normal_text\notifications\email_9887.txt,0,normal,0.0002,1
experiments\data\anomaly_text\Code\Code (3).txt,1,anomaly,0.00019999962,0
experiments\data\anomaly_text\Resume\Resume (8).txt,1,anomaly,0.0002,1
experiments\data\normal_text\reports\report_2892.txt,0,normal,0.00019999995,0
experiments\data\normal_text\reports\report_8021.txt,0,normal,0.0002,1
experiments\data\normal_text\reports\report_1753.txt,0,normal,0.00019999935,0
experiments\data\normal_text\reports\report_2349.txt,0,normal,0.00019999986,0
experiments\data\anomaly_text\Code\Code (4) - Copy.txt,1,anomaly,0.00019999992,0
experiments\data\anomaly_text\OCRProblematic\OcrProblematic (1).txt,1,anomaly,0.0002,1
experiments\data\normal_text\invoices\invoice_961_charspace_962.txt,0,normal,0.0002,1
experiments\data\anomaly_text\Resume\Resume (6).txt,1,anomaly,0.0002,1
experiments\data\normal_text\notifications\email_1256.txt,0,normal,0.0002,1
experiments\data\normal_text\reports\report_7977.txt,0,normal,0.0001999985,0
experiments\data\normal_text\reports\report_6708.txt,0,normal,0.00019999967,0
experiments\data\normal_text\notifications\email_9788.txt,0,normal,0.0002,1
experiments\data\normal_text\notifications\email_8597.txt,0,normal,0.00019999998,0
experiments\data\normal_text\reports\report_9708.txt,0,normal,0.00019999962,0
experiments\data\normal_text\notifications\email_4874.txt,0,normal,0.0002,1
