path,label,source,score,pred
experiments\data\normal_text\notifications\email_4298.txt,0,normal,0.8710666031844518,0
experiments\data\anomaly_text\Resume\Resume (11).txt,1,anomaly,1.0580246754980354,1
experiments\data\normal_text\reports\report_3067.txt,0,normal,0.9124376830662762,0
experiments\data\normal_text\notifications\email_6765.txt,0,normal,0.9211411408466673,0
experiments\data\anomaly_text\Resume\Resume (5).txt,1,anomaly,1.0587578147295582,1
experiments\data\normal_text\notifications\email_4905.txt,0,normal,0.9702827417666099,0
experiments\data\normal_text\notifications\email_9323.txt,0,normal,0.9828541499617804,0
experiments\data\normal_text\notifications\email_7864.txt,0,normal,0.8380553189702651,0
experiments\data\anomaly_text\Code\Code (1) - Copy.txt,1,anomaly,1.0676758457813214,1
experiments\data\normal_text\notifications\email_2331.txt,0,normal,0.8518159160689598,0
experiments\data\normal_text\reports\report_5201.txt,0,normal,0.832320934936832,0
experiments\data\normal_text\notifications\email_9887.txt,0,normal,1.0236769630190887,1
experiments\data\anomaly_text\Code\Code (3).txt,1,anomaly,1.068899215257205,1
experiments\data\anomaly_text\Resume\Resume (8).txt,1,anomaly,1.0558822426023005,1
experiments\data\normal_text\reports\report_2892.txt,0,normal,0.8635017623441541,0
experiments\data\normal_text\reports\report_8021.txt,0,normal,0.8843452893626107,0
experiments\data\normal_text\reports\report_1753.txt,0,normal,0.7828499916363731,0
experiments\data\normal_text\reports\report_2349.txt,0,normal,0.9341634797090088,0
experiments\data\anomaly_text\Code\Code (4) - Copy.txt,1,anomaly,1.0672577366421019,1
experiments\data\anomaly_text\OCRProblematic\OcrProblematic (1).txt,1,anomaly,1.0109191108285844,1
experiments\data\normal_text\invoices\invoice_961_charspace_962.txt,0,normal,0.8277435279201909,0
experiments\data\anomaly_text\Resume\Resume (6).txt,1,anomaly,1.0578489837678937,1
experiments\data\normal_text\notifications\email_1256.txt,0,normal,0.9304765728065288,0
experiments\data\normal_text\reports\report_7977.txt,0,normal,0.8717906955109949,0
experiments\data\normal_text\reports\report_6708.txt,0,normal,0.9003736920775668,0
experiments\data\normal_text\notifications\email_9788.txt,0,normal,0.9483675746363608,0
experiments\data\normal_text\notifications\email_8597.txt,0,normal,0.9410797857943635,0
experiments\data\normal_text\reports\report_9708.txt,0,normal,0.8895122281548479,0
experiments\data\normal_text\notifications\email_4874.txt,0,normal,0.8291874099934116,0
experiments\data\normal_text\notifications\email_9036.txt,0,normal,0.988398673558375,0
experiments\data\normal_text\reports\report_3471.txt,0,normal,0.9090481933178555,0
experiments\data\anomaly_text\Resume\Resume (15).txt,1,anomaly,1.0596085672346223,1
experiments\data\normal_text\reports\report_3440.txt,0,normal,0.6804571852556798,0
experiments\data\anomaly_text\RandomText\randomText (11).txt,1,anomaly,1.070903477435119,1
experiments\data\normal_text\notifications\email_2938.txt,0,normal,0.8768111961808366,0
experiments\data\anomaly_text\Resume\Resume (23).txt,1,anomaly,1.058397226176932,1
